Horror Wiki Index,char index,actor,character,stripped character
1180,1,Natalie Dormer,Gina,gina
1180,2,John Bradley,Scooter,scooter
1180,3,Clive Standen,Colonel Knox,colonel knox
1180,4,Colin McFarlane,General Pierce,general pierce
1180,5,Stanley Tucci,The Professor,professor
1180,6,Agyness Deyn,Janet,janet
125,0,Susan Penhaligon,Kathie Jacqurad,kathie jacqurad
125,1,Robert Helpmann,Dr. Roget,dr roget
125,2,Rod Mullinar,Ed Jacqurad,ed jacqurad
125,3,Bruce S. Barry,Dr. Brain Wright,dr brain wright
125,4,Julia Blake,Matron Cassidy,matron cassidy
125,5,Helen Hemingway,Sister Williams,sister williams
125,6,Maria Mercedes,Nurse Panicale,nurse panicale
125,7,Robert Thompson,Patrick,patrick
125,8,Walter Pym,Capt. Fraser,capt fraser
125,9,Frank Wilson,Det. Sgt. Grant,det sgt grant
125,10,John P. Boddie,the Multi-Colored Mice,multi colored mice
1212,0,Jason Clarke,Louis Creed,louis creed
1212,1,Amy Seimetz,Rachel Creed,rachel creed
1212,2,John Lithgow,Jud Crandall,jud crandall
1212,3,Jeté Laurence,Ellie Creed,ellie creed
1212,4,Hugo Lavoie and Lucas Lavoie,Gage Creed,gage creed
1212,5,Obssa Ahmed,Victor Pascow,victor pascow
411,0,Dale Midkiff,Louis Creed,louis creed
411,1,Fred Gwynne,Jud Crandall,jud crandall
411,2,Denise Crosby,Rachel Creed,rachel creed
411,3,Brad Greenquist,Victor Pascow,victor pascow
411,4,Michael Lombard,Irwin Goldman,irwin goldman
411,5,Miko Hughes,Gage Creed,gage creed
411,6,Blaze Berdahl,Ellie Creed,ellie creed
411,7,Susan Blommaert,Missy Dandridge,missy dandridge
411,8,Mara Clark,Marcy Charlton,marcy charlton
411,9,Kavi Raz,Steve Masterton,steve masterton
411,10,Mary Louise Wilson,Dory Goldman,dory goldman
411,11,Andrew Hubatsek,Zelda,zelda
411,12,Lisa Stathoplos,Jud's mother,juds mother
411,13,Stephen King,Minister,minister
411,14,Chuck Courtney,Bill Baterman,bill baterman
411,15,Peter Stader,Timmy Baterman,timmy baterman
411,16,Beau Berdahl,Ellie Creed II,ellie creed ii
141,0,Angus Scrimm,The Tall Man,tall man
141,1,Pat Roman,The Mega Dwarf,mega dwarf
141,2,A. Michael Baldwin,Mike Pearson,mike pearson
141,3,Bill Thornbury,Jody Pearson,jody pearson
141,4,Reggie Bannister,Reggie,reggie
141,5,Kathy Lester,Lady in Lavender,lady in lavender
141,6,Terrie Kalbus,Fortuneteller's Granddaughter,fortunetellers granddaughter
141,7,Kenneth V. Jones,Caretaker,caretaker
141,8,Susan Harper,Susie,susie
141,9,Lynn Eastman,Sally,sally
141,10,David Arntzen,Toby,toby
141,11,Ralph Richmond,Bartender,bartender
141,12,Bill Cone,Tommy,tommy
141,13,Laura Mann,Double Lavender,double lavender
141,14,Mary Ellen Shaw,Fortuneteller,fortuneteller
141,15,Myrle Scotton,Maid,maid
412,0,James LeGros,Mike Pearson,mike pearson
412,1,Reggie Bannister,Reggie,reggie
412,2,Angus Scrimm,The Tall Man,tall man
412,3,Paula Irvine,Liz Reynolds,liz reynolds
412,4,Samantha Phillips,Alchemy,alchemy
