Horror Wiki Index,char index,actor,character,stripped character,killed
330,4,Sandy Webster,Fred Adams,fred adams,N/A
330,5,Helen Hughes,Marwella Harbison,marwella harbison,N/A
1166,0,Luke Prael,Jacob Rathbone,jacob rathbone,N/A
1166,1,Nadia Alexander,Phil,phil,N/A
1166,2,Sterling Jerins,Christine Holcomb,christine holcomb,N/A
1166,3,Kobi George,Lenny,lenny,N/A
1166,4,Kadin George,Calvin,calvin,N/A
1166,5,Nicholas J. Oliveri,Elwood Ramsay,elwood ramsay,N/A
1166,6,Christopher Dylan White,Frederic,frederic,N/A
1166,7,David Aaron Baker,Davis Rathbone,davis rathbone,N/A
1166,8,Samantha Mathis,Isabel,isabel,N/A
1166,9,Robert John Burke,Mr. Holcomb,mr holcomb,N/A
1166,10,Charlotte Ubben,Mrs. Holcomb,mrs holcomb,N/A
1166,11,Chris LaPanta,Claude,claude,N/A
1166,12,Stephen Bogardus,Phil's father,phils father,N/A
1166,13,Lucy Walters,Mrs. Ramsay,mrs ramsay,N/A
1166,14,Will Patton,Dr Sherman / The Usurper,dr sherman usurper,N/A
1166,15,Tammy Blanchard,Mrs Sherman / Mrs Lynn Adams,mrs sherman mrs lynn adams,N/A
1166,16,Sonya Balsara,Young Feiga,young feiga,N/A
1166,17,Allison Winn,Young Tsipi,young tsipi,N/A
1166,18,Barbara Kingsley,Elderly Tsipi,elderly tsipi,N/A
1166,19,Tim Haber,Nazi Soldier,nazi soldier,N/A
625,0,Snoop Dogg,Jimmy Bones,jimmy bones,N/A
625,1,Pam Grier,Pearl,pearl,N/A
625,2,Michael T. Weiss,Lupovich,lupovich,N/A
625,3,Clifton Powell,Jeremiah Peet,jeremiah peet,N/A
625,4,Ricky Harris,Eddie Mack,eddie mack,N/A
625,5,Bianca Lawson,Cynthia,cynthia,N/A
625,6,Khalil Kain,Patrick Peet,patrick peet,N/A
625,7,Merwin Mondesir,Bill Peet,bill peet,N/A
625,8,Sean Amsing,Maurice,maurice,N/A
625,9,Katharine Isabelle,Tia Peet,tia peet,N/A
625,10,Ronald Selmour,Shotgun,shotgun,N/A
625,11,Deezer D,Stank,stank,N/A
625,12,Garikayi Mutambirwa,Weaze,weaze,N/A
625,13,Erin Wright,Snowflake,snowflake,N/A
625,14,Josh Byer,Jason,jason,N/A
625,15,Kirby Morrow,Palmer,palmer,N/A
625,16,Ellen Stephenovna Ewusie,The Death Lady,death lady,N/A
625,17,Lynda Boyd,Nancy Peet,nancy peet,N/A
1099,0,Tyler Perry,"Mabel ""Madea"" Simmons",mabel madea simmons,N/A
1099,1,Cassi Davis,"Betty Ann ""Aunt Bam"" Murphy",betty ann aunt bam murphy,N/A
1099,2,Patrice Lovely,Hattie Mae Love,hattie mae love,N/A
1099,3,Bella Thorne,Rain Mathison,rain mathison,N/A
1099,4,Yousef Erakat,Jonathan,jonathan,N/A
1099,5,Lexy Panterra,Leah Devereaux,leah devereaux,N/A
1099,6,Andre Hall,Quinton,quinton,N/A
1099,7,Brock O’Hurn,Horse,horse,N/A
1099,8,Liza Koshy,Aday Walker,aday walker,N/A
1099,9,Diamond White,Tiffany Simmons,tiffany simmons,N/A
1099,10,Kian Lawley,Bean Boy,bean boy,N/A
1099,11,Jc Caylen,Mikey,mikey,N/A
1099,12,Jimmy Tatro,Sean,sean,N/A
1099,13,Tyga,Tyga,tyga,N/A
1099,14,Mike Tornabene,Dino,dino,N/A
1099,15,Bradley Martyn,frat boy #9,frat boy 9,N/A
1099,16,Mario Rodriguez,frat boy #10.,frat boy 10,N/A
215,0,Rebecca Balding,Trish Michaels,trish michaels,N/A
215,1,Fred McCarren,Mark Kinner,mark kinner,N/A
215,2,Anne-Marie Martin,Jessica Ford,jessica ford,N/A
215,3,Jeff Harlan,Roger Lowrie,roger lowrie,N/A
215,4,John Crawford,Brian Deering,brian deering,N/A
215,5,Med Flory,Dan Ostroff,dan ostroff,N/A
215,6,Jon Lormer,Blanchard,blanchard,N/A
215,7,Scott Wilkinson,Deputy Greenwalt,deputy greenwalt,N/A
709,0,Barry Watson,Tim Jensen,tim jensen,False
709,1,Emily Deschanel,Kate Houghton,kate houghton,False
709,2,Skye McCole Bartusiak,Franny Roberts,franny roberts,False
709,3,Tory Mussett,Jessica,jessica,True
709,4,Andrew Glover,Boogeyman,boogeyman,True
709,5,Charles Mesure,Mr. Jensen,mr jensen,False
709,6,Lucy Lawless,Mary Jensen,mary jensen,False
709,7,Phil Gordon,Uncle Mike,uncle mike,False
709,8,Aaron Murphy,Young Tim Jensen,young tim jensen,False
709,9,Robyn Malcolm,Dr. Matherson,dr matherson,False
793,0,Danielle Savre,Laura Porter,laura porter,False
793,1,Matt Cohen,Henry Porter,henry porter,True
793,2,Tobin Bell,Dr. Mitchell Allen,dr mitchell allen,False
793,3,Renée O'Connor,Dr. Jessica Ryan,dr jessica ryan,False
793,4,Chrissy Griffith,Nicky,nicky,True
793,5,Michael Graziadei,Darren,darren,True
793,6,Mae Whitman,Alison,alison,True
793,7,Johnny Simmons,Paul,paul,True
793,8,David Gallagher,Mark,mark,True
793,9,Lesli Margherita,Gloria,gloria,True
793,10,Tom Lenk,Katy Perry,katy perry,False
793,11,Sammi Hanratty,Young Laura Porter,young laura porter,False
793,12,Jarrod Bailey,Young Henry Porter,young henry porter,False
793,13,Lucas Fleischer,Mr. Harry Porter,mr harry porter,False
793,14,Suzanne Jamieson,Mrs. Porter,mrs porter,True
793,15,Christopher John Fields,Detective,detective,False
