Death List Index,Title,Death List URL
460,Otis,/wiki/Otis
461,Outside In,/wiki/Outside_In
462,Pacific Rim,/wiki/Pacific_Rim
463,Paganini Horror,/wiki/Paganini_Horror
464,Paranormal Activity,/wiki/Paranormal_Activity
465,Parasyte,/wiki/Parasyte
466,Parents,/wiki/Parents
467,Patrick,/wiki/Patrick
468,Peeping Tom,/wiki/Peeping_Tom
469,Perfect Stranger,/wiki/Perfect_Stranger
470,Pet Semetary,/wiki/Pet_Semetary
471,Phantasm,/wiki/Phantasm
472,Phantom of the Paradise,/wiki/Phantom_of_the_Paradise
473,Phantom Racer,/wiki/Phantom_Racer
474,Phase IV,/wiki/Phase_IV
475,Phenomena,/wiki/Phenomena
476,Pieces,/wiki/Pieces
477,Pilgrim,/wiki/Pilgrim
478,Piranha Sharks,/wiki/Piranha_Sharks
479,Polaroid,/wiki/Polaroid
480,Poltergeist,/wiki/Poltergeist
481,Pool Party Massacre,/wiki/Pool_Party_Massacre
482,Porno Holocaust,/wiki/Porno_Holocaust
483,Poultrygeist: Night of the Chicken Dead,/wiki/Poultrygeist:_Night_of_the_Chicken_Dead
484,Predator,/wiki/Predator
485,President's Day,/wiki/President%27s_Day
486,Prince of Darkness,/wiki/Prince_of_Darkness
487,Prometheus,/wiki/Prometheus
488,Prophecy,/wiki/Prophecy
489,Proteus,/wiki/Proteus
490,Psycho,/wiki/Psycho
491,Puppet Master,/wiki/Puppet_Master
492,Quarantine,/wiki/Quarantine
493,Rabid,/wiki/Rabid
494,Rattlers,/wiki/Rattlers
495,RawHead Rex,/wiki/RawHead_Rex
496,Razorback,/wiki/Razorback
497,Re-Animator,/wiki/Re-Animator
498,Ready or Not,/wiki/Ready_or_Not
499,REC,/wiki/REC
500,Reptilicus,/wiki/Reptilicus
501,Reptisaurus,/wiki/Reptisaurus
502,Repulsion,/wiki/Repulsion
503,Resident Evil,/wiki/Resident_Evil
504,Return of the Living Dead,/wiki/Return_of_the_Living_Dead
505,Richard III,/wiki/Richard_III
506,Ringu,/wiki/Ringu
507,Rituals,/wiki/Rituals
508,Rogue,/wiki/Rogue
509,Rosemary's Baby,/wiki/Rosemary%27s_Baby
510,Rottweiler,/wiki/Rottweiler
511,Rubber,/wiki/Rubber
512,Sadako vs Kayako,/wiki/Sadako_vs_Kayako
513,Sand Sharks,/wiki/Sand_Sharks
514,Santa Jaws,/wiki/Santa_Jaws
515,Santa Sangre,/wiki/Santa_Sangre
516,Santa's Slay,/wiki/Santa%27s_Slay
517,Sasquatch Hunters,/wiki/Sasquatch_Hunters
518,Satan's Little Helper,/wiki/Satan%27s_Little_Helper
519,Saturday the 14th,/wiki/Saturday_the_14th
520,Sausage Party,/wiki/Sausage_Party
521,Saw,/wiki/Saw
522,Scanners,/wiki/Scanners
523,Scarecrows,/wiki/Scarecrows
524,Scared Stiff,/wiki/Scared_Stiff
525,Scary Movie (Film Series),/wiki/Scary_Movie_(Film_Series)
526,Scary Stories To Tell In The Dark,/wiki/Scary_Stories_To_Tell_In_The_Dark
527,Schizo,/wiki/Schizo
528,Scooby Doo,/wiki/Scooby_Doo
529,Scooby Doo 2: Monsters Unleashed,/wiki/Scooby_Doo_2:_Monsters_Unleashed
530,Scout's Guide to the Zombie Apocalypse,/wiki/Scout%27s_Guide_to_the_Zombie_Apocalypse
531,Scream (Film Series),/wiki/Scream_(Film_Series)
532,Scream (TV series),/wiki/Scream_(TV_series)
533,Se7en,/wiki/Se7en
534,Secret Window,/wiki/Secret_Window
535,See No Evil,/wiki/See_No_Evil
536,Serial Killing 101,/wiki/Serial_Killing_101
537,Serial Mom,/wiki/Serial_Mom
538,Seven Psychopaths,/wiki/Seven_Psychopaths
539,Shadows of the Dead,/wiki/Shadows_of_the_Dead
540,Shapeshifter,/wiki/Shapeshifter
541,Shark Hunter,/wiki/Shark_Hunter
542,Shark Lake,/wiki/Shark_Lake
543,Shark Movies,/wiki/Shark_Movies
544,Shark Night,/wiki/Shark_Night
