Movie Index,Title,Year,Plot,Director(s),Star(s),Stripped Title,Horror Wiki Index,Horror Wiki URL
113,Daughters of Satan,1972.0,"James Robertson buys a painting depicting witches being burned at the stake, one of whom bears an uncanny resemblance to his wife, Chris. Chris, gradually taken over by the personality of ...                See full summary »",Hollingsworth Morse,"Tom Selleck, Barra Grant, Tani Guthrie, Paraluman",daughters of satan,,
114,Superbeast,1972.0,"A doctor finds a jungle laboratory, complete with mad scientist and genetic engineering experiments.",George Schenck,"Antoinette Bower, Craig Littler, Harry Lauter, Vic Diaz",superbeast,,
115,Piranha,1972.0,"Wildlife photographer Terry and her brother Art go to Venezuela for a photo shoot. They hire Jim Pendrake to guide them through the jungle. However, the trio run afoul of evil local hunter Caribe.",William Gibson,"William Smith, Peter Brown, Ahna Capri, Tom Simcox",piranha,,
116,Premonition,1972.0,Red flowers cause three college students to have deadly premonitions.,Alan Rudolph,"Carl Crow, Tim Ray, Winfrey Hester Hill, Victor Izay",premonition,,
117,A Reflection of Fear,1972.0,A disturbed young girl starts believing that there is something very sinister at work after her estranged father visits her at her mother and grandmother's house with the woman he plans to marry.,William A. Fraker,"Robert Shaw, Sally Kellerman, Mary Ure, Sondra Locke",a reflection of fear,,
118,Encounter with the Unknown,1972.0,"Three eerie tales based on actual events are enacted in this film. First, three college students play a prank on a geeky classmate, who is accidentally shot and killed. His vengeful mother ...                See full summary »",Harry Thomason,"Rod Serling, Robert Ginnaven, Gary Brockette, John Leslie",encounter with unknown,,
119,My Brother Has Bad Dreams,1972.0,A mentally ill eight-year-old sees his father commit matricide and has flashbacks years later.,Robert J. Emery,"Nick Kleinholz III, Marlena Lustik, Paul Vincent, Frank Logan",my brother has bad dreams,,
120,"Silent Night, Bloody Night",1972.0,"A man inherits a mansion, which once was a mental home. He visits the place and begins to investigate some crimes that happened in old times, scaring the people living in the region.",Theodore Gershuny,"Patrick O'Neal, James Patterson, Mary Woronov, Astrid Heeren",silent night bloody night,,
121,Sisters,1972.0,A small-time reporter tries to convince the police she saw a murder in the apartment across from hers.,Brian De Palma,"Margot Kidder, Jennifer Salt, Charles Durning, William Finley",sisters,,
122,Child's Play,1972.0,"At an exclusive boys' school, a new gym teacher is drawn into a feud between two older instructors, and he discovers that everything at the school is not quite as staid, tranquil and harmless as it seems.",Sidney Lumet,"James Mason, Robert Preston, Beau Bridges, Ron Weyand",childs play,,
123,Scream Bloody Murder,1972.0,"A disturbed boy kills his father with his farm tractor and his arm is mangled in the process. He's taken to a mental hospital where he's outfitted with a hook to replace his lost hand and, ...                See full summary »",Marc B. Ray,"Fred Holbert, Leigh Mitchell, Robert Knox, Ron Bastone",scream bloody murder,,
124,Asylum of Satan,1972.0,A young woman is brought to an asylum to receive special treatment from a mysterious doctor. Dr. Spector does more than just run the hospital -- he offers his patients as sacrifices to ...                See full summary »,William Girdler,"Charles Kissinger, Carla Borelli, Nick Jolley, Louis Bandy",asylum of satan,,
125,Blood Sabbath,1972.0,A coven of witches captures a young man traveling through the woods. He gets involved in a power struggle between a beautiful witch and the evil queen who heads the coven.,Brianne Murphy,"Anthony Geary, Susan Damante, Sam Gilman, Steve Gravers",blood sabbath,,
126,The Curse of the Alpha Stone,1972.0,"A university professor uses hypnotism, potions and smoke from a glowing stone to get women to have sex with him.",Stewart Malleon,"Jim Scotlin, Sandy Carey, Lowell Smith, Olivia Enke",curse of alpha stone,,
127,Curse of the Headless Horseman,1972.0,A phantom horseman who appears every night with a human head tucked under his arm lets it be known that he is searching for eight gunfighters.,John Kirkland,"Ultra Violet, Marland Proctor, Claudia Reame, Don Carrara",curse of headless horseman,,
128,Dear Dead Delilah,1972.0,"A sickly matriarch of a dysfunctional family living in an old Southern mansion teases her siblings about finding a long lost treasure hidden in the premises, little did she know that there is someone ready to kill to get their hands on it.",John Farris,"Agnes Moorehead, Will Geer, Michael Ansara, Dennis Patrick",dear dead delilah,,
129,A Thief in the Night,1972.0,"The story of Patty, a young woman caught up in living for the present with little concern for the future. She meets and marries a young man and her life seems great, until one moment she ...                See full summary »",Donald W. Thompson,"Patty Dunning, Mike Niday, Colleen Niday, Maryann Rachford",a thief in night,,
130,Evil Come Evil Go,1972.0,A religious fanatic murders people who are engaging in sex.,Walt Davis,"Cleo O'Hara, Sandra Henderson, Jane Tsentas, Rick Cassidy",evil come evil go,,
131,The Brides Wore Blood,1972.0,"The DeLorca family has been cursed ever since Carlos' grandfather was interrupted while conjuring evil spirits. The curse makes each DeLorca son turn into a vampire, and upon the birth of ...                See full summary »",Bob Favorite,"Dolores Friedline, Chuck Faulkner, Jan Sherman, Dolores Starling",brides wore blood,,
132,Blood Freak,1972.0,"A biker comes upon a girl with a flat tire and offers her a ride home. He winds up at a drug party with the girl's sister, then follows her to a turkey farm owned by her father, a mad ...                See full summary »","Steve Hawkes, Brad F. Grinter","Steve Hawkes, Dana Cullivan, Randy Grinter, Heather Hughes",blood freak,,
133,Curse of the Moon Child,1972.0,A man gets caught up in a cult that demands human sacrifice.,"Steve Hawkes, Brad F. Grinter","Adam West, Sherry Jackson, Jeremy Slate",curse of moon child,,
134,Blood Orgy of the She-Devils,1973.0,"Lorraine and Mark enter the world of witchcraft where Mara foretells the future and helps them remember their past lives. When a series of mysterious murders begin to occur, they turn to Dr. Helsford for advice.",Ted V. Mikels,"Lila Zaborin, Victor Izay, Tom Pace, Leslie McRay",blood orgy of she devils,,
135,House of Terror,1973.0,"A nurse is hired to take care of a mean, cantankerous woman. It turns out that the nurse and her boyfriend are after the woman's fortune. When the woman turns up dead in a bathtub full of ...                See full summary »",Sergei Goncharoff,"Jennifer Bishop, Arell Blanton, Mitchell Gregg, Irene Byatt",house of terror,,
136,Alabama's Ghost,1973.0,"Nightclub janitor discovers a secret room, finds old magician's belongings, tries on the costumes and becomes ""Alabama, King of the Cosmos.""",Fredric Hobbs,"Christopher Brooks, Peggy Browne, E. Kerrigan Prescott, Steven Kent Browne",alabamas ghost,,
137,Miss Leslie's Dolls,1973.0,A young college professor and three of her students seek shelter during a storm in the rural farmhouse of a strange woman who collects lifelike mannequins.,Joseph G. Prieto,"Salvador Ugarte, Terri Juston, Marcelle Bichette, Kitty Lewis",miss leslies dolls,,
138,The Crazies,1973.0,"The military attempts to contain a manmade combat virus that causes death and permanent insanity in those infected, as it overtakes a small Pennsylvania town.",George A. Romero,"Lane Carroll, Will MacMillan, Harold Wayne Jones, Lloyd Hollar",crazies,33.0,/wiki/The_Crazies_(1973)
139,Psyched by the 4D Witch (A Tale of Demonology),1973.0,Novice witch Cindy is transported into a world of safe sex by the voice of Abigail from the 17th century.,Victor Luminera,"Margo, Esoterica, Tom Yerian, Kelly Guthrie",psyched by 4d witch a tale of demonology,,
140,Please Don't Eat My Mother!,1973.0,"A middle-aged man buys a plant with a sexy voice that develops a craving for insects, frogs, dogs, and humans.",Carl Monson,"Buck Kartalian, Lynn Lundgren, Art Hedberg, Alice Friedland",please dont eat my mother,,
141,The Baby,1973.0,"A social worker, still reeling from the loss of her architect husband, investigates the eccentric, psychedelic Wadsworth Family, consisting of a mother, two daughters, and an adult son with the apparent mental capacity of an infant.",Ted Post,"Anjanette Comer, Ruth Roman, Marianna Hill, Susanne Zenor",baby,,
142,Crypt of the Living Dead,1973.0,Two archaeologists on a scientific dig come across a vampire burial ground and discover that the creatures are about to awaken and attack a nearby village.,"Ray Danton, Julio Salvador","Andrew Prine, Mark Damon, Patty Shepard, Teresa Gimpera",crypt of living dead,,
143,The Killing Kind,1973.0,Young Terry Lambert returns home from serving a prison term for a gang-rape he was forced to participate in. He seeks revenge on his lawyer and the girl who framed him. But his real problem...                See full summary »,Curtis Harrington,"Ann Sothern, John Savage, Ruth Roman, Luana Anders",killing kind,,
144,Schlock,1973.0,"A small town is terrorized by ""The Banana Killer"", which turns out to be the missing link between man and ape.",John Landis,"John Landis, Saul Kahan, Joseph Piantadosi, Richard Gillis",schlock,,
145,Ganja & Hess,1973.0,"After being stabbed with an ancient, germ-infested knife, a doctor's assistant finds himself with an insatiable desire for blood.",Bill Gunn,"Duane Jones, Marlene Clark, Bill Gunn, Sam L. Waymon",ganja hess,,
146,Beyond Atlantis,1973.0,A band of adventurers invade a native island determined to grab a reported fortune in buried treasure. The islanders are just as determined to keep their sacred treasure. Complications ensue.,Eddie Romero,"Patrick Wayne, John Ashley, Leigh Christian, Sid Haig",beyond atlantis,,
147,Lemora: A Child's Tale of the Supernatural,1973.0,A young girl who returns to her hometown to see her dying father finds herself being drawn into a web of vampirism and witchcraft.,Richard Blackburn,"Lesley Taplin, Cheryl Smith, William Whitton, Hy Pyke",lemora a childs tale of supernatural,,
148,Wonder Women,1973.0,An insurance investigator battles Dr. Tsu and her sexy all-girl army.,Robert Vincent O'Neil,"Nancy Kwan, Ross Hagen, Maria De Aragon, Roberta Collins",wonder women,,
149,The Last House on Dead End Street,1973.0,"After being released from prison, a young gangster with a chip on his shoulder decides to punish society by making snuff films.",Roger Watkins,"Roger Watkins, Ken Fisher, Bill Schlageter, Kathy Curtin",last house on dead end street,,
150,Bummer,1973.0,"A touring small-time rock band called The Group picks up a couple of groupies. One night, the band's drunken, hulking bass player goes nuts and rapes the girls. The band refuses to believe that he's trouble which leads to more tragedy.",William Allen Castleman,"Kipp Whitman, Dennis Burkley, Connie Strickland, Carol Speed",bummer,,
151,Messiah of Evil,1973.0,A young woman goes searching for her missing artist father. Her journey takes her to a strange Californian seaside town governed by a mysterious undead cult.,"Gloria Katz, Willard Huyck","Michael Greer, Marianna Hill, Joy Bang, Anitra Ford",messiah of evil,,
152,Son of Dracula,1973.0,"Due to be crowned King of the Netherworld by his mentor Merlin the Magician (Sir Ringo Starr) at a monster's convention, Count Downe (Harry Nilsson), the son of Count Dracula, falls in love...                See full summary »",,See full summary,son of dracula,,
153,The Cremators,1973.0,"An alien life form that is a huge ball of living matter invades earth, and replenishes itself by absorbing people.",Harry Essex,"Maria De Aragon, Marvin Howard, Eric Allison, Eric Sinclair",cremators,,
154,The Forgotten,1973.0,"A young psychiatric nurse goes to work at a lonesome asylum following a murder. There, she experiences varying degrees of torment from the patients.",S.F. Brownrigg,"Bill McGhee, Jessie Lee Fulton, Robert Dracup, Harryette Warren",forgotten,,
155,Terror in the Wax Museum,1973.0,The murder of a Wax Museum proprietor and some other strange goings-on in the vicinity prompt a police investigator to determine whether the killer is one of the principles who wants to own...                See full summary »,Georg Fenady,"Ray Milland, Elsa Lanchester, Maurice Evans, John Carradine",terror in wax museum,,
156,Pigs,1973.0,"Lynn Hart is a disturbed young woman who escapes from a mental hospital where she was committed for killing her abusive father who raped her. Stealing a nurse's uniform and car, Lynn ends ...                See full summary »",Marc Lawrence,"Toni Lawrence, Jesse Vint, Catherine Ross, Paul Hickey",pigs,,
157,"Wicked, Wicked",1973.0,"A tongue-in-cheek psycho movie in ""Duo-vision."" The entire feature employs the split-screen technique used in parts of Brian De Palma's ""Sisters"" that same year. As a handyman at a seacoast...                See full summary »",Richard L. Bare,"David Bailey, Tiffany Bolling, Randolph Roberts, Scott Brady",wicked wicked,,
158,So Sad About Gloria,1973.0,"A young woman just released from a mental hospital moves back in with her family. However, she is soon troubled by disturbing visions in which she commits a series of axe murders.",Harry Thomason,"Lori Saunders, Robert Ginnaven, Dean Jagger, Lou Hoffman",so sad about gloria,,
