Horror Wiki Index,char index,actor,character,stripped character,killed,actor url,race,gender
434,1,Phoebe Cates,Kate Beringer,kate beringer,,http://www.nndb.com/people/550/000023481/,Multiracial,Female
434,2,John Glover,Daniel Clamp,daniel clamp,,http://www.nndb.com/people/071/000108744/,White,Male
434,3,Robert Prosky,Grandpa Fred,grandpa fred,,http://www.nndb.com/people/214/000130821/,White,Male
434,4,Robert Picardo,Forster,forster,,http://www.nndb.com/people/996/000044864/,White,Male
434,5,Christopher Lee,Doctor Catheter,doctor catheter,,http://www.nndb.com/people/896/000022830/,White,Male
434,6,Haviland Morris,Marla Bloodstone,marla bloodstone,,,White,Other
434,7,Dick Miller,Murray Futterman,murray futterman,,http://www.nndb.com/people/840/000161357/,White,Male
434,8,Jackie Joseph,Sheila Futterman,sheila futterman,,http://www.nndb.com/people/344/000353282/,White,Female
434,9,Gedde Watanabe,Mr. Katsuji,mr katsuji,,http://www.nndb.com/people/427/000025352/,Asian/Indian,Male
434,10,Keye Luke,Mr. Wing,mr wing,,http://www.nndb.com/people/265/000140842/,Asian/Indian,Male
434,11,Kathleen Freeman,Microwave Marge,microwave marge,,http://www.nndb.com/people/056/000130663/,White,Female
434,12,Don Stanton,Martin,martin,,,White,Male
434,13,Dan Stanton,Lewis,lewis,,,White,Male
1170,0,Isabelle Huppert,Greta Hideg,greta hideg,,http://www.nndb.com/people/770/000092494/,White,Female
1170,1,Chloë Grace Moretz,Frances McCullen,frances mccullen,,,Unlisted,Unlisted
1170,2,Maika Monroe,Erica Penn,erica penn,,,White,Female
1170,3,Colm Feore,Chris McCullen,chris mccullen,,http://www.nndb.com/people/164/000130771/,White,Male
1170,4,Stephen Rea,Brian Cody,brian cody,,http://www.nndb.com/people/976/000088712/,White,Male
1232,0,Sophia Lillis,Gretel,gretel,,,Unlisted,Unlisted
1232,1,Sam Leaky,Hansel,hansel,,,Unlisted,Unlisted
1232,2,Charles Babalola,The Huntsman,huntsman,,,White,Male
1232,3,Alice Krige,Holda/The Witch,holda witch,,http://www.nndb.com/people/864/000118510/,White,Female
1232,4,Jessica De Gouw,Young Holda/The Witch,young holda witch,,,Unlisted,Unlisted
959,0,Liam Neeson,John Ottway,john ottway,,http://www.nndb.com/people/667/000023598/,White,Male
959,1,Frank Grillo,John Diaz,john diaz,,http://www.nndb.com/people/097/000348050/,White,Male
959,2,Dermot Mulroney,Jerome Talget,jerome talget,,http://www.nndb.com/people/934/000025859/,White,Male
959,3,Dallas Roberts,Pete Hendrick,pete hendrick,,http://www.nndb.com/people/417/000346376/,White,Male
959,4,Joe Anderson,Todd Flannery,todd flannery,,http://www.nndb.com/people/794/000164302/,White,Male
959,5,Nonso Anozie,Jackson Burke,jackson burke,,,White,Other
959,6,James Badge Dale,Luke Lewenden,luke lewenden,,,White,Male
959,7,Ben Hernandez Bray,Hernandez,hernandez,,,White,Male
959,8,Anne Openshaw,Ana Ottway,ana ottway,,,Unlisted,Unlisted
87,0,Christopher George,Michael Kelly,michael kelly,,http://www.nndb.com/people/508/000086250/,White,Male
87,1,Andrew Prine,Don Stober,don stober,,http://www.nndb.com/people/689/000131296/,White,Male
87,2,Richard Jaeckel,Arthur Scott,arthur scott,,http://www.nndb.com/people/401/000131008/,White,Male
87,3,Joan McCall,Allison Corwin,allison corwin,,,Unlisted,Unlisted
87,4,Joan Dorsey,Charley Kittridge,charley kittridge,,,Unlisted,Unlisted
87,5,Charles Kissinger,Dr. Hallitt,dr hallitt,,,Unlisted,Unlisted
87,6,Mike Clifford,Pat,pat,,,Unlisted,Unlisted
87,7,Teddy,bear,bear,,http://www.nndb.com/people/755/000080515/,Black,Male
705,0,Sarah Michelle Gellar,Karen,karen,False,http://www.nndb.com/people/511/000023442/,White,Female
705,1,Jason Behr,Doug,doug,True,http://www.nndb.com/people/836/000108512/,White,Male
705,2,William Mapother,Matthew Williams,matthew williams,True,http://www.nndb.com/people/825/000109498/,White,Male
