Movie Index,Title,Year,Plot,Director(s),Star(s)
3761,Experiment 7,2009,"Dr. Felix Copper is a doctor of Biological Sciences and is on a quest to find a solution to purifying radiation from water in the year 2022, ten years after the fall of humankind. He has to...                See full summary »",Joe Davison,"Rod Grant, Candice Rojas, Joe Davison, Dwight Cenac"
3762,Gore,2009,"In 1978, after a string of gruesome cannibalistic killings, Detective William Sanders successfully brought the deformed killer known as Gore to justice. It is now 2009, thirty one years ...                See full summary »","Stephanie Wlosinski, Adam R. Steigert","Kyle Andrews, Bill Bohem, Christopher Brechtel, Hernan Caraballo"
3763,The Black Waters of Echo's Pond,2009,"Nine friends take a holiday at a Victorian home on a private island and uncover a game that when played brings out the worst in each of them. Jealously, greed, hatred, lust, all of the things they keep buried deep inside themselves rise to the surface and come to a boil.",Gabriel Bologna,"Robert Patrick, Danielle Harris, Sean Lawlor, James Duval"
3764,Blood Guardian,2009,Jason Hart witnesses the murder of his father at the hands of his drug addict mother at age twelve. Jason grows up to be a troubled man who has has several run-ins with the law . Jason ...                See full summary »,Charles Peterson,"Matt Robinson, Lanny Rethaber, Sallie Glaner, Darl Chryst"
3765,The Confessional,2009,A disturbed sculptor assumes the identity of a small town priest and designs a game of divine madness for a unsuspecting town.,James Anthony Cotton,"Peter Quartaroli, Jane Longenecker, Victor Browne, Noah Maschan"
3766,Sway,2009,A bizarre and disturbing tale of a night gone horribly wrong for a group of degenerate flesh peddlers when they target a young man who proves to be more than a slight inconvenience.,Josh Vargas,"Travis Ammons, Jayson Champion, Melanie Donihoo, Ben Dugley"
3767,Stan Helsing,2009,"A spoof on many horror movie series. Ending his shift at the video rental, Stan's picked up by his BFF and 2 cute girls, all going to a Halloween party. Will they even get there?",Bo Zenga,"Steve Howey, Diora Baird, Kenan Thompson, Desi Lydic"
3768,It Starts with Murder!,2009,A black-gloved killer stalks the guests of a fabulous resort! It's up to world famous detective Miss Mandrake to solve this string of brutal slayings. But can she unmask the murderer before...                See full summary »,,
3769,Saw VI,2009,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw.",Kevin Greutert,"Tobin Bell, Costas Mandylor, Mark Rolston, Betsy Russell"
3770,Knife Edge,2009,"A successful Wall Street trader returns to England with her new husband and five-year-old son, but their new start together turns into a nightmare when they move into a country house which contains a terrible secret.",Anthony Hickox,"Hugh Bonneville, Natalie Press, Matthieu Boujenah, Miles Ronayne"
