Horror Wiki Index,char index,Stripped Title,Year,character
226,5,friday 13th part iii,1982,"Andy ""Andrew"" Beltrami"
226,6,friday 13th part iii,1982,Debbie
226,7,friday 13th part iii,1982,Andy's and Debbie's child
226,8,friday 13th part iii,1982,"Shelly ""Sheldon"" Finkelstein"
226,9,friday 13th part iii,1982,Chuck
226,10,friday 13th part iii,1982,Chili
226,11,friday 13th part iii,1982,Rick
226,12,friday 13th part iii,1982,Ali
304,0,friday 13th part vi jason lives,1986,Allen Hawes
304,1,friday 13th part vi jason lives,1986,Darren
304,2,friday 13th part vi jason lives,1986,Lizabeth
304,3,friday 13th part vi jason lives,1986,Burt
304,4,friday 13th part vi jason lives,1986,"Stan, Katie, Larry"
304,5,friday 13th part vi jason lives,1986,Roy
304,6,friday 13th part vi jason lives,1986,Martin
304,7,friday 13th part vi jason lives,1986,"Steven, Annette"
304,8,friday 13th part vi jason lives,1986,Nikki
304,9,friday 13th part vi jason lives,1986,Cort
304,10,friday 13th part vi jason lives,1986,Sissy Baker
304,11,friday 13th part vi jason lives,1986,Paula
304,12,friday 13th part vi jason lives,1986,Officer Thornton
304,13,friday 13th part vi jason lives,1986,Officer Pappas
304,14,friday 13th part vi jason lives,1986,Sheriff Michael Garris
372,0,friday 13th part vii new blood,1988,John Shepard
372,1,friday 13th part vii new blood,1988,Jane
372,2,friday 13th part vii new blood,1988,Michael
372,3,friday 13th part vii new blood,1988,Dan
372,4,friday 13th part vii new blood,1988,Judy
372,5,friday 13th part vii new blood,1988,Russell
372,6,friday 13th part vii new blood,1988,Sandra
372,7,friday 13th part vii new blood,1988,Maddy
372,8,friday 13th part vii new blood,1988,Ben
372,9,friday 13th part vii new blood,1988,Kate
372,10,friday 13th part vii new blood,1988,David
372,11,friday 13th part vii new blood,1988,Eddie
372,12,friday 13th part vii new blood,1988,Robin
372,13,friday 13th part vii new blood,1988,Amanda Shepard
372,14,friday 13th part vii new blood,1988,Dr. Crews
372,15,friday 13th part vii new blood,1988,Melissa
372,16,friday 13th part vii new blood,1988,Mark Shepard
372,17,friday 13th part vii new blood,1988,Luis Ham
372,18,friday 13th part vii new blood,1988,Jason Voorhees
372,19,friday 13th part vii new blood,1988,Fisherman
403,0,friday 13th part viii jason takes manhattan,1989,Jim Miller
403,1,friday 13th part viii jason takes manhattan,1989,Suzy Donaldson
403,2,friday 13th part viii jason takes manhattan,1989,J.J. Jarrett
403,3,friday 13th part viii jason takes manhattan,1989,Boxer
403,4,friday 13th part viii jason takes manhattan,1989,Tamara Mason
403,5,friday 13th part viii jason takes manhattan,1989,Jim Carlson
403,6,friday 13th part viii jason takes manhattan,1989,Admiral Robertson
403,7,friday 13th part viii jason takes manhattan,1989,Eva Watanabe
403,8,friday 13th part viii jason takes manhattan,1989,Crew Member
403,9,friday 13th part viii jason takes manhattan,1989,Wayne Webber
403,10,friday 13th part viii jason takes manhattan,1989,Miles Wolfe
403,11,friday 13th part viii jason takes manhattan,1989,Unnamed Deck Hand
403,12,friday 13th part viii jason takes manhattan,1989,Homes
403,13,friday 13th part viii jason takes manhattan,1989,Jojo
403,14,friday 13th part viii jason takes manhattan,1989,Julius Gaw
403,15,friday 13th part viii jason takes manhattan,1989,Irish Cop
403,16,friday 13th part viii jason takes manhattan,1989,Colleen Van Deusen
403,17,friday 13th part viii jason takes manhattan,1989,Charles McCullough
403,18,friday 13th part viii jason takes manhattan,1989,Unnamed New York Cook
403,19,friday 13th part viii jason takes manhattan,1989,Unnamed Sanitation Worker
655,0,ghost ship,2002,Captain
655,1,ghost ship,2002,Katie
655,2,ghost ship,2002,Greer
655,3,ghost ship,2002,Francesca Rettondini
655,4,ghost ship,2002,Sean Murphy
655,5,ghost ship,2002,Santos
655,6,ghost ship,2002,Munder
945,0,grave encounters,2011,Dr. Arthur Friedkin
945,1,grave encounters,2011,Houston Grey
945,2,grave encounters,2011,T.C. Gibson
945,3,grave encounters,2011,Matt White
945,4,grave encounters,2011,Sasha Parker
981,0,grave encounters 2,2012,Jared Lee
981,1,grave encounters 2,2012,Tessa Books
981,2,grave encounters 2,2012,Asylum Security Guard
981,3,grave encounters 2,2012,Trevor Thompson
981,4,grave encounters 2,2012,Sean Rogerston/Lance Preston
981,5,grave encounters 2,2012,Jennifer Parker
705,0,grudge,2004,Kayako Saeki
705,1,grudge,2004,Mar
705,2,grudge,2004,Toshio Saeki
705,3,grudge,2004,Takeo Saeki
705,4,grudge,2004,Peter Kirk
705,5,grudge,2004,Jennifer Williams
705,6,grudge,2004,Matthew Williams
705,7,grudge,2004,Yoko
705,8,grudge,2004,Emma Williams
705,9,grudge,2004,Susan Williams
705,10,grudge,2004,Alex
705,11,grudge,2004,Detective Nakagawa
705,12,grudge,2004,Doug
1171,0,halloween,2018,Dr. Samuel Loomis
1171,1,halloween,2018,Officer Warden Kuneman
1171,2,halloween,2018,Kevin's Father
1171,3,halloween,2018,Kevin
1171,4,halloween,2018,Mechanic
1171,5,halloween,2018,Cashier
1171,6,halloween,2018,Aaron Korey
1171,7,halloween,2018,Dana Haines
1171,8,halloween,2018,Gina Panchella
1171,9,halloween,2018,Andrea Wagner
1171,10,halloween,2018,Vicky
1171,11,halloween,2018,Dave
1171,12,halloween,2018,Oscar
1171,13,halloween,2018,Deputy Frank Hawkins
1171,14,halloween,2018,Dr. Ranbir Sartain
1171,15,halloween,2018,Officer Richard
1171,16,halloween,2018,Officer Francis
1171,17,halloween,2018,Ray Nelson
115,0,halloween,1978,Judith Margaret Myers
115,1,halloween,1978,Christopher Joseph Hastings
115,2,halloween,1978,Dog
115,3,halloween,1978,Lester the Dog
115,4,halloween,1978,"Anne Marie ""Annie"" Brackett"
115,5,halloween,1978,"Robert David ""Bob"" Simms"
115,6,halloween,1978,Lynda Van Der Klok
806,0,halloween,2007,Wesley Rhodes
806,1,halloween,2007,Ronnie White
806,2,halloween,2007,Steve Haley
806,3,halloween,2007,Judith Myers
806,4,halloween,2007,Nurse Wynn
806,5,halloween,2007,Deborah Myers
806,6,halloween,2007,Jack Kendall
806,7,halloween,2007,Noel Kluggs
806,8,halloween,2007,Zach Garrett
806,9,halloween,2007,Larry Redgrave
806,10,halloween,2007,Stan Payne
806,11,halloween,2007,Patty Frost
806,12,halloween,2007,Gloria
806,13,halloween,2007,Ismael Cruz
806,14,halloween,2007,Joe Grizzly
806,15,halloween,2007,Bob Simms
806,16,halloween,2007,Lynda Van Der Klok
806,17,halloween,2007,Mason Strode
806,18,halloween,2007,Cynthia Strode
806,19,halloween,2007,Paul Freedman
806,20,halloween,2007,Officer Lowery
806,21,halloween,2007,Deputy Charles
806,22,halloween,2007,Michael Myers
374,0,halloween 4 return of michael myers,1988,Attendant J.Black
374,1,halloween 4 return of michael myers,1988,Attendant L.Evans
374,2,halloween 4 return of michael myers,1988,2 Paramedics
374,3,halloween 4 return of michael myers,1988,Mechanic
