Horror Wiki Index,Title,Year,Horror Wiki URL
389,Slugs (1988),1988,/wiki/Slugs_(1988)
390,The Brain (1988),1988,/wiki/The_Brain_(1988)
391,They Live,1988,/wiki/They_Live
392,Uninvited (1988),1988,/wiki/Uninvited_(1988)
393,Zombi 3,1988,/wiki/Zombi_3
394,A Nightmare on Elm Street 5: The Dream Child (1989),1989,/wiki/A_Nightmare_on_Elm_Street_5:_The_Dream_Child_(1989)
395,Amityville 4: The Evil Escapes (1989),1989,/wiki/Amityville_4:_The_Evil_Escapes_(1989)
396,C.H.U.D. II: Bud the C.H.U.D.,1989,/wiki/C.H.U.D._II:_Bud_the_C.H.U.D.
397,The Church (1989),1989,/wiki/The_Church_(1989)
398,Clownhouse (1989),1989,/wiki/Clownhouse_(1989)
399,DeepStar Six,1989,/wiki/DeepStar_Six
400,Demons 6: De Profundis,1989,/wiki/Demons_6:_De_Profundis
401,The Fly II,1989,/wiki/The_Fly_II
402,Food of the Gods II,1989,/wiki/Food_of_the_Gods_II
403,Friday the 13th Part VIII: Jason Takes Manhattan,1989,/wiki/Friday_the_13th_Part_VIII:_Jason_Takes_Manhattan
404,Halloween 5: The Revenge of Michael Myers,1989,/wiki/Halloween_5:_The_Revenge_of_Michael_Myers
405,House of Lost Souls,1989,/wiki/House_of_Lost_Souls
406,Howling V: The Rebirth,1989,/wiki/Howling_V:_The_Rebirth
407,Intruder (1989),1989,/wiki/Intruder_(1989)
408,Killer Crocodile,1989,/wiki/Killer_Crocodile
409,Leviathan,1989,/wiki/Leviathan
410,Mae Bia,1989,/wiki/Mae_Bia
411,Pet Sematary (1989),1989,/wiki/Pet_Sematary_(1989)
412,Phantasm II,1989,/wiki/Phantasm_II
413,The Phantom of the Opera (1989),1989,/wiki/The_Phantom_of_the_Opera_(1989)
414,Prom Night III: The Last Kiss,1989,/wiki/Prom_Night_III:_The_Last_Kiss
415,Psycho Cop,1989,/wiki/Psycho_Cop
416,Shocker,1989,/wiki/Shocker
417,"Silent Night, Deadly Night 3: Better Watch Out!",1989,"/wiki/Silent_Night,_Deadly_Night_3:_Better_Watch_Out!"
418,Sleepaway Camp III: Teenage Wasteland,1989,/wiki/Sleepaway_Camp_III:_Teenage_Wasteland
419,Society,1989,/wiki/Society
420,The House of Clocks,1989,/wiki/The_House_of_Clocks
421,The Ogre,1989,/wiki/The_Ogre
422,The Return of Swamp Thing,1989,/wiki/The_Return_of_Swamp_Thing
423,The Terror Within,1989,/wiki/The_Terror_Within
424,Warlock,1989,/wiki/Warlock
425,The Amityville Curse (1990),1990,/wiki/The_Amityville_Curse_(1990)
426,Arachnophobia (1990),1990,/wiki/Arachnophobia_(1990)
427,Basket Case 2 (1990),1990,/wiki/Basket_Case_2_(1990)
428,Brain Dead (1990),1990,/wiki/Brain_Dead_(1990)
429,Buried Alive (1990),1990,/wiki/Buried_Alive_(1990)
430,A Cat in the Brain (1990),1990,/wiki/A_Cat_in_the_Brain_(1990)
431,Child's Play 2 (1990),1990,/wiki/Child%27s_Play_2_(1990)
432,The Exorcist III (1990),1990,/wiki/The_Exorcist_III_(1990)
433,Graveyard Shift,1990,/wiki/Graveyard_Shift
434,Gremlins 2: The New Batch,1990,/wiki/Gremlins_2:_The_New_Batch
435,Hard to Die,1990,/wiki/Hard_to_Die
436,Jacob's Ladder,1990,/wiki/Jacob%27s_Ladder
437,Killer Crocodile 2 (1990),1990,/wiki/Killer_Crocodile_2_(1990)
