Horror Wiki Index,char index,actor,character
1013,12,Siri Baruc,Erin
1013,13,Jake Thornton,Clive
1013,14,Gus Krieger,Quinn
1013,15,Victor Avitia,Santiago
1013,16,Catero Colbert,Mouse
1013,17,Brian McGuire,March
1013,18,Adam Novak,Clark
1013,19,Shannon Malone,Faye
1013,20,Jim Roof,Chester
1013,21,Allison Goodman,Dina
970,0,Miss Margot,The antagonistic protagonist of the film.
970,1,Daria,One of the film's protagonists and Miss Margot's unfortunate victims and members of her ghostly family.
970,2,Missy,A friend of Daria's.
970,3,The Kappas,A cult based university group who fall prey to Miss Margot's killing spree.
970,4,Ghosts,Miss Margot's victims/minons including Daria
970,5,Colleen,The sadistic leader of The Kappas and
970,6,Two Strapping Students,Two university students who appear at the end of the film
970,7,Lloyd,A friend of Daria's and
971,0,Katharine Isabelle,Mary Mason
971,1,Antonio Cupo,Billy Barker
971,2,Tristan Risk,Beatress Johnson
971,3,David Lovgren,Dr. Grant
971,4,Paula Lindberg,Ruby Realgirl
971,5,Clay St. Thomas,Dr. Walsh
971,6,John Emmet Tracy,Detective Dolor
971,7,Twan Holliday,Lance Delgreggo
971,8,Nelson Wong,Dr. Black
971,9,Sylvia Soska,Twin #1
971,10,Jen Soska,Twin #2
971,11,Paul Athony,Rat
971,12,Sean Amsing,Security Guard
971,13,Travis Watters,Mr. Realgirl
971,14,Marius Soska,Dr. Janusz
608,0,Christian Bale,Patrick Bateman
608,1,Reese Witherspoon,Evelyn Williams
608,2,Chloë Sevigny,Jean
608,3,Justin Theroux,Timothy Bryce
608,4,Josh Lucas,Craig McDermott
608,5,Bill Sage,David Van Patten
608,6,Matt Ross,Luis Carruthers
608,7,Jared Leto,Paul Allen
608,8,Samantha Mathis,Courtney Rawlinson
608,9,Willem Dafoe,Detective Donald Kimball
608,10,Cara Seymour,Christie
608,11,Guinevere Turner,Elizabeth
608,12,Krista Sutton,Sabrina
608,13,Catherine Black,Vanden
608,14,Stephen Bogaert,Harold Carnes
608,15,Anthony Lemke,Marcus Halberstram
608,16,Patricia Gage,Mrs. Wolfe
608,17,Reg E. Cathey,Homeless Man
243,0,Tony Roberts,John Baxter
243,1,Tess Harper,Nancy Baxter
243,2,Lori Loughlin,Susan Baxter
243,3,Robert Joy,Eliot West
243,4,Candy Clark,Melanie
243,5,Meg Ryan,Lisa
243,6,Neill Barry,Jeff
395,0,Patty Duke,Nancy Evans
395,1,Jane Wyatt,Alice Leacock
395,2,Fredric Lehne,Father Kibbler
395,3,Lou Hancock,Peggy
395,4,Brandy Gold,Jessica Evans
395,5,Zoe Trilling,Amanda Evans
395,6,Aron Eisenberg,Brian Evans
395,7,Norman Lloyd,Father Manfred
395,8,Robert Alan Browne,Donald McTear
395,9,Gloria Cromwell,Rhoda
395,10,James Stern,Danny Read
395,11,Peggy McCay,Helen Royce
491,0,Ross Partridge,Keyes Terry
491,1,Julia Nickson-Soul,Suki
491,2,Lala Sloatman,Llanie
491,3,David Naughton,Dick Cutler
491,4,Barbara Howard,Janet Cutler
491,5,Jack Orend,Franklin Bonner
491,6,Richard Roundtree,Pauli
491,7,Terry O'Quinn,Detective Clark
491,8,Robert Rusler,Ray
491,9,Lin Shaye,Nurse Turner
491,10,Karl Johnson,Cafe Owner
491,11,Ralph Ahn,Mr. Kim
491,12,Tom Wright,Morgue Attendant
491,13,Bob Jennings,Rookie Cop
491,14,Jon Steuer,Young Keyes
491,15,Robert Harvey,Bronner
1132,0,Bella Thorne,Belle
1132,1,Jennifer Jason Leigh,Joan
1132,2,Jennifer Morrison,Candice
1132,3,Cameron Monaghan,James
1132,4,Mckenna Grace,Juliet
1132,5,Taylor Spreitler,Marissa
1132,6,Thomas Mann,Terrence
1132,7,Kurtwood Smith,Dr. Milton
425,0,Kim Coates,Frank
425,1,Dawna Wightman,Debbie
425,2,Helen Hughens,Mrs. Moriarty
425,3,David Stein,Marvin
425,4,Anthony Dean Rubes,Bill
425,5,Cassandra Gava,Abigail
425,6,Jan Rubes,Priest
425,7,Scott Yaphe,Thin Boy
425,8,Mark Camacho,Krabel
548,0,Robin Thomas,Bill Martin
548,1,Starr Andreeff,Claire Martin
548,2,Allen Cutler,Todd Martin
548,3,Rachel Duncan,Jessica Martin
548,4,Jarrett Lennon,Jimmy Martin
548,5,Clayton Murray,Jimmy's Father
548,6,Franc Ross,Tobias
548,7,Lenore Kasdorf,Marla Martin
548,8,Lisa Robin Kelly,Dana
937,0,Jason Williams,Douglas Benson
937,1,Amy Van Horne,Virginia Benson
937,2,Devin Clark,Tyler Benson
937,3,Nadine Crocker,Lori Benson
937,4,Gracie Largent,Melanie Benson
937,5,Luke Barnett,Ronald DeFeo
937,6,Tyler Shamy,Greg
937,7,John Kondelik,Brett
738,0,Ryan Reynolds,George Lutz
738,1,Melissa George,Kathy Lutz
738,2,Jesse James,Billy Lutz
738,3,Jimmy Bennett,Michael Lutz
738,4,Chloe Grace Moretz,Chelsea Lutz
738,5,Philip Baker Hall,Father Callaway
738,6,Rachel Nichols,Lisa
738,7,Isabel Conner,Jodie DeFeo
738,8,Brendan Donaldson,Ronald DeFeo
738,9,Danny McCarthy,Officer Greguski
738,10,Annabel Armour,Realtor
220,0,James Olson,Father Adamsky
220,1,Burt Young,Anthony Montelli
220,2,Rutanya Alda,Dolores Montelli
220,3,Jack Magner,Sonny Montelli
220,4,Diane Franklin,Patricia Montelli
220,5,Brent Katz,Mark Montelli
220,6,Erika Katz,"Janice ""Jan"" Montelli"
220,7,Andrew Prine,Father Tom
220,8,Moses Gunn,Detective Turner
220,9,Ted Ross,Mr. Booth
220,10,Petra Lea,Mrs. Greer
220,11,Martin Donegan,Detective Cortez
