Horror Wiki Index,Title,Year,Horror Wiki URL,Stripped Title
1008,The Cabin in the Woods,2012,/wiki/The_Cabin_in_the_Woods,cabin in woods
459,Campfire Tales (1991),1991,/wiki/Campfire_Tales_(1991),campfire tales
482,Candyman (1992),1992,/wiki/Candyman_(1992),candyman
588,Candyman: Day of the Dead (1999),1999,/wiki/Candyman:_Day_of_the_Dead_(1999),candyman day of dead
518,Candyman: Farewell to the Flesh (1995),1995,/wiki/Candyman:_Farewell_to_the_Flesh_(1995),candyman farewell to flesh
153,Cannibal Holocaust (1980),1980,/wiki/Cannibal_Holocaust_(1980),cannibal holocaust
110,The Car,1977,/wiki/The_Car,car
571,Carnival of Souls (1998),1998,/wiki/Carnival_of_Souls_(1998),carnival of souls
492,Carnosaur (1993),1993,/wiki/Carnosaur_(1993),carnosaur
519,Carnosaur 2 (1995),1995,/wiki/Carnosaur_2_(1995),carnosaur 2
535,Carnosaur 3: Primal Species (1996),1996,/wiki/Carnosaur_3:_Primal_Species_(1996),carnosaur 3 primal species
1016,Carrie (2013),2013,/wiki/Carrie_(2013),carrie
648,Carrie (2002),2002,/wiki/Carrie_(2002),carrie
82,Carrie (1976),1976,/wiki/Carrie_(1976),carrie
795,Carved (2007),2007,/wiki/Carved_(2007),carved
839,Carver (2008),2008,/wiki/Carver_(2008),carver
12,The Cat o' Nine Tails (1971),1971,/wiki/The_Cat_o%27_Nine_Tails_(1971),cat o nine tails
796,Catacombs (2007),2007,/wiki/Catacombs_(2007),catacombs
278,Cat's Eye (1985),1985,/wiki/Cat%27s_Eye_(1985),cats eye
363,Cellar Dweller (1988),1988,/wiki/Cellar_Dweller_(1988),cellar dweller
505,Cemetery Man (1994),1994,/wiki/Cemetery_Man_(1994),cemetery man
910,Chain Letter (2010),2010,/wiki/Chain_Letter_(2010),chain letter
154,The Changeling (1980),1980,/wiki/The_Changeling_(1980),changeling
1017,Chastity Bites (2013),2013,/wiki/Chastity_Bites_(2013),chastity bites
975,Chernobyl Diaries (2012),2012,/wiki/Chernobyl_Diaries_(2012),chernobyl diaries
614,Cherry Falls (2000),2000,/wiki/Cherry_Falls_(2000),cherry falls
56,Chi sei? (1974),1974,/wiki/Chi_sei%3F_(1974),chi sei
264,Children of the Corn (1984),1984,/wiki/Children_of_the_Corn_(1984),children of corn
870,Children of the Corn (2009),2009,/wiki/Children_of_the_Corn_(2009),children of corn
