Horror Wiki Index,char index,Stripped Title,Year,character,stripped character
282,4,friday 13th a new beginning,1985,Vinnie,vinnie
282,5,friday 13th a new beginning,1985,Pete,pete
282,6,friday 13th a new beginning,1985,Billy,billy
282,7,friday 13th a new beginning,1985,Lana,lana
282,8,friday 13th a new beginning,1985,Raymond,raymond
282,9,friday 13th a new beginning,1985,Tina,tina
282,10,friday 13th a new beginning,1985,Eddie,eddie
282,11,friday 13th a new beginning,1985,Anita,anita
282,12,friday 13th a new beginning,1985,Demon,demon
282,13,friday 13th a new beginning,1985,Junior Hubbard,junior hubbard
282,14,friday 13th a new beginning,1985,Ethel Hubbard,ethel hubbard
282,15,friday 13th a new beginning,1985,Jake,jake
282,16,friday 13th a new beginning,1985,Robin,robin
282,17,friday 13th a new beginning,1985,Violet,violet
282,18,friday 13th a new beginning,1985,Duke Johnson,duke johnson
282,19,friday 13th a new beginning,1985,Dr. Matthew Letter,dr matthew letter
282,20,friday 13th a new beginning,1985,George,george
282,21,friday 13th a new beginning,1985,Roy Burns,roy burns
282,22,friday 13th a new beginning,1985,Pam Roberts,pam roberts
282,23,friday 13th a new beginning,1985,Pam Roberts,pam roberts
282,24,friday 13th a new beginning,1985,Mrs Roberts,mrs roberts
282,25,friday 13th a new beginning,1985,Mr Roberts,mr roberts
282,26,friday 13th a new beginning,1985,Reggie Winter,reggie winter
282,27,friday 13th a new beginning,1985,Mrs Winter,mrs winter
267,0,friday 13th final chapter,1984,Coroner Axel Burns,coroner axel burns
267,1,friday 13th final chapter,1984,"Nurse Roberta ""Robbie"" Morgan",nurse roberta robbie morgan
267,2,friday 13th final chapter,1984,Unnamed Female Hitchhiker,unnamed female hitchhiker
267,3,friday 13th final chapter,1984,Samantha Lane,samantha lane
267,4,friday 13th final chapter,1984,Paul Guthrie,paul guthrie
267,5,friday 13th final chapter,1984,"Terri ""Teresa"" Moore",terri teresa moore
267,6,friday 13th final chapter,1984,Mrs. Tracy Jarvis,mrs tracy jarvis
267,7,friday 13th final chapter,1984,"James ""Jimmy"" Mortimer",james jimmy mortimer
267,8,friday 13th final chapter,1984,Tina Moore,tina moore
267,9,friday 13th final chapter,1984,Ted Cooper,ted cooper
267,10,friday 13th final chapter,1984,"Douglas ""Doug"" Bell",douglas doug bell
267,11,friday 13th final chapter,1984,Sara,sara
267,12,friday 13th final chapter,1984,"Rob ""Robert"" Dier",rob robert dier
267,13,friday 13th final chapter,1984,Jason Voorhees,jason voorhees
192,0,friday 13th part 2,1981,Alice Hardy,alice hardy
192,1,friday 13th part 2,1981,Crazy Ralph,crazy ralph
192,2,friday 13th part 2,1981,Deputy Winslow,deputy winslow
192,3,friday 13th part 2,1981,Scott,scott
192,4,friday 13th part 2,1981,Terry,terry
192,5,friday 13th part 2,1981,Mark,mark
192,6,friday 13th part 2,1981,"Jeff, Sandra Dier",jeff sandra dier
192,7,friday 13th part 2,1981,Vickie,vickie
192,8,friday 13th part 2,1981,Paul Holt,paul holt
226,0,friday 13th part iii,1982,Harold Hockett,harold hockett
226,1,friday 13th part iii,1982,Edna Hockett,edna hockett
226,2,friday 13th part iii,1982,Fox,fox
226,3,friday 13th part iii,1982,Loco,loco
226,4,friday 13th part iii,1982,Vera Sanchez,vera sanchez
226,5,friday 13th part iii,1982,"Andy ""Andrew"" Beltrami",andy andrew beltrami
226,6,friday 13th part iii,1982,Debbie,debbie
226,7,friday 13th part iii,1982,Andy's and Debbie's child,andys and debbies child
226,8,friday 13th part iii,1982,"Shelly ""Sheldon"" Finkelstein",shelly sheldon finkelstein
226,9,friday 13th part iii,1982,Chuck,chuck
226,10,friday 13th part iii,1982,Chili,chili
226,11,friday 13th part iii,1982,Rick,rick
226,12,friday 13th part iii,1982,Ali,ali
304,0,friday 13th part vi jason lives,1986,Allen Hawes,allen hawes
304,1,friday 13th part vi jason lives,1986,Darren,darren
304,2,friday 13th part vi jason lives,1986,Lizabeth,lizabeth
304,3,friday 13th part vi jason lives,1986,Burt,burt
304,4,friday 13th part vi jason lives,1986,"Stan, Katie, Larry",stan katie larry
304,5,friday 13th part vi jason lives,1986,Roy,roy
304,6,friday 13th part vi jason lives,1986,Martin,martin
304,7,friday 13th part vi jason lives,1986,"Steven, Annette",steven annette
304,8,friday 13th part vi jason lives,1986,Nikki,nikki
304,9,friday 13th part vi jason lives,1986,Cort,cort
304,10,friday 13th part vi jason lives,1986,Sissy Baker,sissy baker
304,11,friday 13th part vi jason lives,1986,Paula,paula
304,12,friday 13th part vi jason lives,1986,Officer Thornton,officer thornton
304,13,friday 13th part vi jason lives,1986,Officer Pappas,officer pappas
304,14,friday 13th part vi jason lives,1986,Sheriff Michael Garris,sheriff michael garris
372,0,friday 13th part vii new blood,1988,John Shepard,john shepard
372,1,friday 13th part vii new blood,1988,Jane,jane
372,2,friday 13th part vii new blood,1988,Michael,michael
372,3,friday 13th part vii new blood,1988,Dan,dan
372,4,friday 13th part vii new blood,1988,Judy,judy
372,5,friday 13th part vii new blood,1988,Russell,russell
372,6,friday 13th part vii new blood,1988,Sandra,sandra
372,7,friday 13th part vii new blood,1988,Maddy,maddy
372,8,friday 13th part vii new blood,1988,Ben,ben
372,9,friday 13th part vii new blood,1988,Kate,kate
372,10,friday 13th part vii new blood,1988,David,david
372,11,friday 13th part vii new blood,1988,Eddie,eddie
